            AlgoName,    n, SolCount, VarNb, CstNb, BackTrack,     Fails, ResTime
            A-Double,   12,      332,    34,    26,    183329,     91333, 5.7114153
           T-Classic,   12,     1328,    23,    13,    117207,     57276, 2.4121342
         T-FirstLast,   12,      664,    23,    14,     92325,     45499, 1.9623557
       T-FirstSecond,   12,      664,    23,    14,    197127,     97900, 3.8920114
                T-Sh,   12,      664,    23,    14,    140073,     69373, 2.7270045
            T-Double,   12,      332,    23,    15,     76127,     37732, 1.5337558
           A-Classic,   13,     3200,    37,    26,   2131107,   1062354, 73.42133
         A-FirstLast,   13,     1600,    37,    27,   1463515,    730158, 55.659218
       A-FirstSecond,   13,     1600,    37,    27,   1204337,    600569, 59.08626
                A-Sh,   13,     1600,    37,    27,    979473,    488137, 49.61675
            A-Double,   13,      800,    37,    28,    862497,    430449, 44.685947
           T-Classic,   13,     3200,    25,    14,   1029517,    511559, 30.839684
         T-FirstLast,   13,     1600,    25,    15,    190289,     93545, 5.822944
       T-FirstSecond,   13,     1600,    25,    15,    575447,    286124, 18.280563
                T-Sh,   13,     1600,    25,    15,    487133,    241967, 16.067019
            T-Double,   13,      800,    25,    16,    189313,     93857, 7.523763
